<oov> 1.0	<oov>
بارہواں 1.0	B A_A R A H V A_A_N
باریش 1.0	B A_A R I_I1 S_H
بارے 1.0	B A_A R A_Y
بازو 1.0	B A_A Z U_U
بازوؤں 1.0	B A_A Z U_U O_O_N
بازیاب 1.0	B A_A Z J A_A B
بازیچہ 1.0	B A_A Z I_I1 T_S1 A_A
باشعور 1.0	B A_A S_H U Y U_U R
باشندوں 1.0	B A_A S_H I N D_D O_O_N
باعث 1.0	B A_A I S
باغ 1.0	B A_A G_G
باغبانی 1.0	B A_A G_G B A_A N I_I1
باغوں 1.0	B A_A G_G O_O_N
باغیانہ 1.0	B A_A G_G J A_A N A_A
باغیوں 1.0	B A_A G_G I_I1 O_O_N
باغیچہ 1.0	B A_A G_G I_I1 T_S1 A_A
بافتوں 1.0	B A_A F T_D O_O_N
باقر 1.0	B A_A Q I R
باقی 1.0	B A_A Q I_I1
بالاخر 1.0	B I L A_A X I R
بالخصوص 1.0	B I L X U S U_U S
بالغ 1.0	B A_A L I G_G
بالغان 1.0	B A_A L I G_G A_A N
بالغوں 1.0	B A_A L I G_G O_O_N
بالواسطہ 1.0	B I L V A_A S I T_D A_A
بالکل 1.0	B I L K U L
بام 1.0	B A_A M
بانجھ 1.0	B A_A N D_Z_H
باندھ 1.0	B A_A N D_D_H
باندھنے 1.0	B A_A N D_D_H N A_Y
باندھیں 1.0	B A_A N D_D_H A_Y_N
بانسری 1.0	B A_A N S R I_I1
بانو 1.0	B A_A N O_O
بانگ 1.0	B A_A N_G
بانہیں 1.0	B A_A_N H A_Y_N
باوجود 1.0	B A_A V A D_Z U_U D_D
باورچی 1.0	B A_A V A R T_S1 I_I1
باولنگ 1.0	B A_A O_O L I N_G
باچھ 1.0	B A_A T_S_H
باڈی 1.0	B A_A D I_I1
باڑھ 1.0	B A_A R_R_H
باڑہ 1.0	B A_A R_R A_A
باگ 1.0	B A_A G
باہر 1.0	B A_A H A R
بتاؤں 1.0	B A T_D A U_U_N
بتایا 1.0	B A T_D A_A J A_A
بتدریج 1.0	B A T_D A D_D R I_I1 D_Z
بجاآوری 1.0	B A D_Z A_A A_A V R I_I1
بجائیں 1.0	B A D_Z A_A A_Y_N
بجائے 1.0	B A D_Z A_A A_Y
بجز 1.0	B A D_Z U Z
بجلی 1.0	B I D_Z L I_I1
بجنوری 1.0	B I D_Z N O R I_I1
بجٹ 1.0	B A D_Z A T
بجھائی 1.0	B U D_Z_H A_A I_I1
بجھانے 1.0	B U D_Z_H A_A N A_Y
بجھنے 1.0	B U D_Z_H N A_Y
بجھوا 1.0	B U D_Z_H V A_A
بجھی 1.0	B U D_Z_H I_I1
بجیں 1.0	B A D_Z A_Y_N
بجے 1.0	B A D_Z A_Y
بحث 1.0	B A H S
بحثتا 1.0	B A H I S T_D A N
بحثوں 1.0	B A H S O_O_N
بحثیں 1.0	B A H S A_Y_N
بحران 1.0	B U H R A_A N
بحرانی 1.0	B O_O_H H R A_A N I_I1
بحیثیت 1.0	B A H A_E1 S I J J A T_D
بحیرہ 1.0	B A H A_E1 R A_A
بخاری 1.0	B U X A_A R I_I1
بخدمت 1.0	B A X I D_D M A T_D
بخش 1.0	B A X S_H
بخشش 1.0	B A X S_H I S_H
بخشو 1.0	B A X S_H O_O
بخشی 1.0	B A X S_H I_I1
بخشیں 1.0	B A X S_H A_Y_N
بخشے 1.0	B A X S_H A_Y
بخوبی 1.0	B A X U_U B I_I1
بخود 1.0	B A X U D_D
بخیر 1.0	B A X A_E1 R
بد 1.0	B A D_D
بدائع 1.0	B A D_D A_A A_Y
بداخلاقی 1.0	B A D_D I X L A_A Q I_I1
بدحالی 1.0	B A D_D H A_A L I_I1
بدروح 1.0	B A D_D R U_U
بدسلوکی 1.0	B A D_D S U L U_U K I_I1
بدشگونی 1.0	B A D_D S_H A G U_U N I_I1
بدصورت 1.0	B A D_D S U_U R A T_D
بدظن 1.0	B A D_D Z A N
بدقسمتی 1.0	B A D_D Q I S M A T_D I_I1
بدل 1.0	B A D_D A L
بدلو 1.0	B A D_D L O_O
بدلیں 1.0	B A D_D L A_Y_N
بدلے 1.0	B A D_D L A_Y
بدمزگی 1.0	B A D_D M A Z G I_I1
بدچلنی 1.0	B A D_D T_S1 A L A N I_I1
بدھ 1.0	B A D_D_H
بدھا 1.0	B A D_D_H D_D_H A_A
بدہضمی 1.0	B A D_D H A Z M I_I1
براؤزر 1.0	B A R A_A O_O Z A R
برابر 1.0	B A R A_A B A R
براعظم 1.0	B A R R A_Y A_A Z A M
براوو 1.0	B A R A_A V O_O
براڈ 1.0	B A R A_A D
براں 1.0	B A R A_A_N
براہمن 1.0	B A R A_A H M A N
برتن 1.0	B A R T_D A N
برج 1.0	B A R D_Z
برخلاف 1.0	B A R X I L A_A F
بردار 1.0	B A R D_D A_A R
برداشت 1.0	B A R D_D A_A S_H T_D
برس 1.0	B A R S
برساتا 1.0	B A R S A_A T_D A_A
برسراقتدار 1.0	B A R S A R A_Y I Q T_D I D_D A_A R
برسنے 1.0	B A R S N A_Y
برسوں 1.0	B A R S O_O_N
برش 1.0	B U R S_H
برطانوی 1.0	B A R T_D A_A N V I_I1
برطرفی 1.0	B A R T_D A R F I_I1
برعظیم 1.0	B A R R A_Y A Z I_I1 M
برعکس 1.0	B A R A K S
برفباری 1.0	B A R A F B A_A R I_I1
برقرار 1.0	B A R Q A R A_A R
بروری 1.0	B A R O R I_I1
بروز 1.0	B U R U_U Z
بروکلی 1.0	B A R O K A L I_I1
بروے 1.0	B A R U_U A_Y
برڈ 1.0	B A R D
برہان 1.0	B U R H A_A N
بری 1.0	B A R I_I1
بریتھلائزر 1.0	B A R T_D_H T_D_H L A_A I Z A R
بریفنگ 1.0	B R I_I1 F I N_G
بریگیڈیر 1.0	B R I G A_E1 D I A R
بزدل 1.0	B U Z D_D I L
بزرگ 1.0	B U Z U R G
بزرگوار 1.0	B A Z U R G V A_A R
بزنس 1.0	B I Z N A S
بزور 1.0	B A Z O_O R
بس 1.0	B A S
بسا 1.0	B A S A_A
بسائیں 1.0	B A S A_A A_Y_N
بستر 1.0	B I S T_D A R
بسر 1.0	B A S A R
بسوں 1.0	B A S O_O_N
بسیار 1.0	B I S J A_A R
بسیں 1.0	B A S A_Y_N
بش 1.0	B U S_H
بشاش 1.0	B A S_H S_H A_A S_H
بشمول 1.0	B A S_H U M U_U L
بشیر 1.0	B A S_H I_I1 R
بطخوں 1.0	B A T_D T_D A X O_O_N
بظاہر 1.0	B A Z A_A H I R
بعد 1.0	B A_A D_D
بعدازاں 1.0	B A_A D_D A Z A_A_N
بعض 1.0	B A_A Z
بعنوان 1.0	B A U N V A_A N
بعینہ 1.0	B I Y A_E1 N I H
بغاوت 1.0	B A G_G A_A V A T_D
بغدادی 1.0	B A G_G D_D A_A D_D I_I1
بغض 1.0	B U G_G Z
بغلگیر 1.0	B A G_G A L G I_I1 R
بغور 1.0	B A G_G O R
بغیر 1.0	B A G_G A_E1 R
بفرزون 1.0	B A F A R Z O_O N
بقایا 1.0	B A Q A_A J A_A
بقایاجات 1.0	B A Q A_A J A_A D_Z A_A T_D
بقعہ 1.0	B U Q A_A
بقول 1.0	B A Q O L
بقیہ 1.0	B A Q I_I1 J A_A
بل 1.0	B I L
بلا 1.0	B U L A_A
بلاخوف 1.0	B I L A_A X O F
بلاسوچے 1.0	B I L A_A S O_O T_S1 A_Y
بلبل 1.0	B U L B U L
بلدیاتی 1.0	B A L D_D I J A_A T_D I_I1
بلغم 1.0	B A L G_G A M
بلند 1.0	B A L A N D_D
بلور 1.0	B I L U_U R
بلوغت 1.0	B A L U_U G_G A T_D
بلونگڑے 1.0	B A L U_U N_G R_R A_Y
بلوچ 1.0	B A L O_O T_S1
بلوچوں 1.0	B A L O_O T_S1 O_O_N
بلوچی 1.0	B A L O_O T_S1 I_I1
بلوں 1.0	B A L O_O_N
بلڈ 1.0	B I L D
بلڈنگ 1.0	B I L D I N_G
بلڈوز 1.0	B U L D O_O Z
بلڈوزر 1.0	B A L D O_O Z A R
بلڈوزروں 1.0	B I L D O_O Z R O_O_N
بلکہ 1.0	B A L K A_Y
بلگرامی 1.0	B I L G I R A_A M I_I1
بلی 1.0	B I L I_I1
بلین 1.0	B I L I J A N
بلیچ 1.0	B A L I_I1 T_S1
بم 1.0	B A M
بن 1.0	B A N
بنا 1.0	B A N A_A
بناؤں 1.0	B A N A_A U_U_N
بنائی 1.0	B A N A_A I_I1
بنائیں 1.0	B A N A_A A_Y_N
بنائے 1.0	B A N A_A A_Y
بنانا 1.0	B A N A_A N A_A
بنانے 1.0	B A N A_A N A_Y
بنایا 1.0	B A N A_A J A_A
بند 1.0	B A N D_D
بندوق 1.0	B A N D_D U_U Q
بنفشی 1.0	B A N A F S_H I_I1
بنوری 1.0	B A N O_O R I_I1
بنولہ 1.0	B I N O L A_A
بنگالی 1.0	B A N_G G A_A L I_I1
بنگلہ 1.0	B A N_G L A_A
بنگلے 1.0	B A N_G L A_Y
بنیادی 1.0	B U N J A_A D_D I_I1
بنیں 1.0	B A N A_Y_N
بنے 1.0	B A N A_Y
بو 1.0	B O_O
بوئنگ 1.0	B O_O I N_G
بوئی 1.0	B O_O I_I1
بوئیں 1.0	B O_O A_Y_N
بوئے 1.0	B O_O A_Y
بوائز 1.0	B U V A_A I Z
بوائے 1.0	B U_U A_A A_Y
بوبی 1.0	B O B I_I1
بوجوہ 1.0	B A V U D_Z U_U
بوجھ 1.0	B O_O D_Z_H
بوجھو 1.0	B U_U D_Z_H O_O
بوجہ 1.0	B O D_Z A_A
بودلہ 1.0	B O_O D_D L A_A
بورڈ 1.0	B O_O R D
بورڈر 1.0	B O R D A R
بوریت 1.0	B O_O R J A T_D
بوس 1.0	B O S
بوسن 1.0	B O_O S A N
بوسنیائی 1.0	B O S N I J A_A I_I1
بوقت 1.0	B A V A Q T_D
بولروں 1.0	B O_O L R O_O_N
بولنگ 1.0	B O_O L I N_G
بولنے 1.0	B O_O L N A_Y
بولو 1.0	B O_O L O_O
بولوں 1.0	B O_O L O_O_N
بولیں 1.0	B O_O L A_Y_N
بولے 1.0	B O_O L A_Y
بوم 1.0	B U_U M
بونس 1.0	B O_O N A S
بونوں 1.0	B O N O_O_N
بوچھاڑ 1.0	B O T_S_H A_A R_R
بوڑھا 1.0	B U_U R_R_H A_A
بوڑھوں 1.0	B U_U R_R_H O_O_N
بوڑھی 1.0	B U_U R_R_H I_I1
بوڑھے 1.0	B U_U R_R_H A_Y
بوکھلاہٹ 1.0	B O K_H L A_A H A T
بوگس 1.0	B O_O G A S
بویا 1.0	B O_O J A_A
بَلّا 1.0	B I L A_A
بُدھو 1.0	B U D_D D_D_H U_U
بُدھی 1.0	B A D_D_H I_I1
بٹورتا 1.0	B A T O_O R T_D A_A
بٹھا 1.0	B I T_H A_A
بپھر 1.0	B I P_H A R
بپھرے 1.0	B I P_H R A_Y
بچاؤ 1.0	B A T_S1 A_A O_O
بچائیں 1.0	B A T_S1 A_A A_Y_N
بچار 1.0	B I T_S1 A_A R
بچایا 1.0	B A T_S1 A_A J A_A
بچنے 1.0	B A T_S1 N A_Y
بچوں 1.0	B A T_S1 T_S1 O_O_N
بچّو 1.0	B A T_S1 O_O
بچّی 1.0	B A T_S1 T_S1 I_I1
بچھ 1.0	B I T_S_H
بچھا 1.0	B I T_S_H A_A
بچھائیں 1.0	B I T_S_H A_A A_Y_N
بچھانے 1.0	B I T_S_H A_A N A_Y
بچھو 1.0	B I T_S_H T_S_H U_U
بچھونا 1.0	B I T_S_H O_O N A_A
بچھڑ 1.0	B I T_S_H A R_R
بچھڑا 1.0	B I T_S_H R_R A_A
بچھڑوں 1.0	B I T_S_H R_R O_O_N
بچھڑی 1.0	B I T_S_H R_R I_I1
بچھڑے 1.0	B I T_S_H R_R A_Y
بچھی 1.0	B I T_S_H I_I1
بچھے 1.0	B I T_S_H T_S_H A_Y
بچہ 1.0	B A T_S1 T_S1 A_A
بچی 1.0	B A T_S1 I_I1
بچیاں 1.0	B A T_S1 T_S1 I J A_A_N
بچیوں 1.0	B A T_S1 T_S1 I_I1 O_O_N
بچیں 1.0	B A T_S1 A_Y_N
بچے 1.0	B A T_S1 A_Y
بڈھا 1.0	B U D D_H A_A
بڈھے 1.0	B U D D_H A_Y
بڑ 1.0	B A R_R
بڑا 1.0	B A R_R A_A
بڑوں 1.0	B A R_R O_O_N
بڑھ 1.0	B A R_R_H
بڑھئی 1.0	B A R_R_H A I_I1
بڑھا 1.0	B A R_R_H A_A
بڑھائیں 1.0	B A R_R_H A_A A_Y_N
بڑھائے 1.0	B A R_R_H A_A A_Y
بڑھانے 1.0	B A R_R_H A_A N A_Y
بڑھاوا 1.0	B A R_R_H A_A V A_A
بڑھاوں 1.0	B A R_R H A_A U_U_N
بڑھاپے 1.0	B U R_R_H A_A P A_Y
بڑھایا 1.0	B A R_R_H A_A J A_A
بڑھوتری 1.0	B A R_R_H O T_D R I_I1
بڑھیا 1.0	B A R_R_H J A_A
بڑھیں 1.0	B A R_R_H A_Y_N
بڑی 1.0	B A R_R I_I1
بڑے 1.0	B A R_R A_Y
بکھر 1.0	B A K K_H A R
بکھری 1.0	B I K_H R I_I1
بکھرے 1.0	B I K_H R A_Y
بکھیر 1.0	B A K_H A_Y R
بکھیرنے 1.0	B A K_H A_Y R N A_Y
بگ 1.0	B A G
بگاڑنے 1.0	B I G A_A R_R N A_Y
بگٹی 1.0	B U G T I_I1
بگڑ 1.0	B I G A R_R
بگڑیں 1.0	B A G R_R A_Y_N
بگھار 1.0	B A G_H A_A R
بگھی 1.0	B A G G_H I_I1
بھئی 1.0	B_H A I_I1
بھاؤ 1.0	B_H A_A O_O
بھائی 1.0	B_H A_A I_I1
بھائیوں 1.0	B_H A_A I J O_O_N
بھابی 1.0	B_H A_A B I_I1
بھارتی 1.0	B_H A_A R T_D I_I1
بھاری 1.0	B_H A_A R I_I1
بھاشا 1.0	B_H A_A S_H A_A
بھال 1.0	B_H A_A L
بھانجے 1.0	B_H A_A N D_Z A_Y
بھانپ 1.0	B_H A_A M P
بھاوج 1.0	B_H A_A V A D_Z
بھاڑ 1.0	B_H A_A R_R
بھاگ 1.0	B_H A_A G
بھجن 1.0	B_H A D_Z A N
بھجوا 1.0	B_H I D_Z V A_A
بھجوائیں 1.0	B_H I D_Z V A_A A_Y_N
بھدی 1.0	B_H A D_D D_D I_I1
بھر 1.0	B_H A R
بھربھری 1.0	B_H U R B_H U R I_I1
بھرتا 1.0	B_H A R T_D A_A
بھروسہ 1.0	B_H A R O_O S A_A
بھرٹ 1.0	B_H A R A T
بھری 1.0	B_H A R I_I1
بھرے 1.0	B_H A R A_Y
بھسم 1.0	B_H A S A M
بھلا 1.0	B_H A L A_A
بھلایا 1.0	B_H U L A_A J A_A
بھنا 1.0	B_H U N A_A
بھنوؤں 1.0	B_H A N V O_O_N
بھنڈی 1.0	B_H I N D I_I1
بھنگڑا 1.0	B_H A N_G R_R A_A
بھنگڑے 1.0	B_H A N_G R_R A_Y
بھوت 1.0	B_H U_U T_D
بھوجپوری 1.0	B_H O_O D_Z P U_U R I_I1
بھورا 1.0	B_H U_U R A_A
بھورے 1.0	B_H O_O R A_Y
بھوسہ 1.0	B_H U_U S A_A
بھوسے 1.0	B_H U_U S A_Y
بھول 1.0	B_H U_U L
بھولا 1.0	B_H O_O L A_A
بھولنا 1.0	B_H U_U L N A_A
بھولو 1.0	B_H U_U L O_O
بھولیں 1.0	B_H U_U L A_Y_N
بھولیے 1.0	B_H U_U L J A_Y
بھومی 1.0	B_H U_U M I_I1
بھون 1.0	B_H U_U N
بھونچال 1.0	B_H O N T_S1 A_A L
بھونڈی 1.0	B_H O_O N D I_I1
بھٹو 1.0	B_H U T T O_O
بھڑ 1.0	B_H A R_R
بھڑاس 1.0	B_H A R_R A_A S
بھڑوں 1.0	B_H A R_R U_U_N
بھڑک 1.0	B_H A R_R A K
بھگت 1.0	B_H U G A T_D
بھگدڑ 1.0	B_H A G D_D A R_R
بھگو 1.0	B_H I G O_O
بھگوئیں 1.0	B_H I G O_O A_Y_N
بھگوڑوں 1.0	B_H A G O_O R_R O_O_N
بھی 1.0	B_H I_I1
بھیانک 1.0	B_H A J A_A N A K
بھیج 1.0	B_H A_Y D_Z
بھیجا 1.0	B_H A_Y D_Z A_A
بھیجنے 1.0	B_H A_Y D_Z N A_Y
بھیجوں 1.0	B_H A_Y D_Z U_U_N
بھیجی 1.0	B_H A_Y D_Z I_I1
بھیجیں 1.0	B_H A_Y D_Z A_Y_N
بھیجے 1.0	B_H A_Y D_Z A_Y
بھید 1.0	B_H A_Y D_D
بھیرویں 1.0	B_H A_Y R V I_I_N
بھیس 1.0	B_H A_Y S
بھیل 1.0	B_H I_I1 L
بھیم 1.0	B_H I_I1 M
بھینس 1.0	B_H A_E1 N S
بھینسیں 1.0	B_H A_E1 N S A_Y_N
بھینٹ 1.0	B_H I_I1 N T
بھینگا 1.0	B_H A_E1 N_G G A_A
بھیڑ 1.0	B_H A_Y R_R
بھیڑوں 1.0	B_H A_Y R_R O_O_N
بھیڑیا 1.0	B_H A_Y R_R I J A_A
بھیڑیں 1.0	B_H A_Y R_R A_Y_N
بھیڑیے 1.0	B_H A_Y R_R I_I1 A_Y
بھیگی 1.0	B_H I_I1 G I_I1
بہ 1.0	B A_Y_H
بہاؤ 1.0	B A H A_A O_O
بہائیں 1.0	B A H A_A A_Y_N
بہبود 1.0	B I H B U_U D_D
بہت 1.0	B A H O_O T_D
بہتر 1.0	B A_E_H H T_D A R
بہتری 1.0	B A_Y_H H T_D A R I_I1
بہترین 1.0	B A_Y_H H T_D A R I_I1 N
بہرحال 1.0	B A H A R H A_A L
بہن 1.0	B A H A N
بہنوئی 1.0	B A_E_H H N O_O I_I1
بہو 1.0	B A H O_O
بہی 1.0	B A_E_H H I_I1
بی 1.0	B I_I1
بیان 1.0	B A J A_A N
بیباک 1.0	B A_Y B A_A K
بیج 1.0	B A_E1 D_Z
بیجوں 1.0	B I_I1 D_Z O_O_N
بیخ 1.0	B A_Y X
بیدار 1.0	B A_Y D_D A_A R
بیداری 1.0	B A_E1 D_D A_A R I_I1
بیراج 1.0	B A_E1 R A_A D_Z
بیرونی 1.0	B A_Y R U_U N I_I1
بیزار 1.0	B A_Y Z A_A R
بیس 1.0	B A_Y S
بیساکھی 1.0	B A_Y S A_A K_H I_I1
بیسمنٹ 1.0	B A_Y S M A N T
بیسن 1.0	B A_Y S A N
بیسویں 1.0	B I_I1 S V A_Y_N
بیسٹ 1.0	B A_E1 S T
بیشتر 1.0	B A_Y S_H T_D A R
بیضوی 1.0	B A_E1 Z V I_I1
بیضے 1.0	B A_E1 Z A_Y
بیعانہ 1.0	B A_Y A_A N A_A
بیعت 1.0	B A_E1 A T_D
بیف 1.0	B I_I1 F
بیل 1.0	B A_Y L
بیلدار 1.0	B A_Y L D_D A_A R
بیلز 1.0	B A_Y L Z
بیلوں 1.0	B A_Y L O_O_N
بیلٹ 1.0	B A_E1 L T
بیلچہ 1.0	B A_Y L T_S1 A_A
بیلچے 1.0	B A_Y L T_S1 A_Y
بیماری 1.0	B I_I1 M A_A R I_I1
بینات 1.0	B A J J I N A_A T_D
بینظیر 1.0	B A_Y N A Z I_I1 R
بینچ 1.0	B A_E1 N T_S1
بینک 1.0	B A_E1 N K
بینگن 1.0	B A_E1 N_G G A N
بیورو 1.0	B I_I1 O_O R O_O
بیوروکریسی 1.0	B I J U_U R O_O K A R A_Y S I_I1
بیوروکریٹس 1.0	B A_E1 O_O R O_O K A R A_Y T S
بیوپار 1.0	B A_Y O_O P A_A R
بیوگان 1.0	B A_E1 V G A_A N
بیوہ 1.0	B A_Y V A_A
بیوی 1.0	B I_I1 V I_I1
بیویوں 1.0	B I_I1 V I_I1 O_O_N
بیٹھ 1.0	B A_E1 T_H
بیٹھا 1.0	B A_E1 T_H A_A
بیٹھتے 1.0	B A_Y T_H T_D A_Y
بیٹھنے 1.0	B A_E1 T_H N A_Y
بیٹھو 1.0	B A_E1 T_H O_O
بیٹھوں 1.0	B A_E1 T_H O_O_N
بیٹھک 1.0	B A_E1 T_H A K
بیٹھی 1.0	B A_E1 T_H I_I1
بیٹھیں 1.0	B A_E1 T_H A_Y_N
بیٹھے 1.0	B A_E1 T_H A_Y
بیچ 1.0	B A_Y T_S1
بیچارے 1.0	B A_Y T_S1 A_A R A_Y
بیچلر 1.0	B A_E1 T_S1 A L A R
بیچنے 1.0	B A_Y T_S1 N A_Y
بیچوں 1.0	B A_Y T_S1 O_O_N
بیچیں 1.0	B A_Y T_S1 A_Y_N
بیچے 1.0	B A_Y T_S1 A_Y
بیڈ 1.0	B A_E1 D
بیڈروم 1.0	B A_E1 D R U_U M
بیڑا 1.0	B A_Y R_R A_A
بیڑیاں 1.0	B A_Y R_R I J A_A_N
بیڑے 1.0	B A_Y R_R A_Y
بیک 1.0	B A_E1 K
بیگ 1.0	B A_E1 G
بیگج 1.0	B A_E1 G I D_Z
بیگز 1.0	B A_E1 G Z
بیگم 1.0	B A_E1 G A M
بیہوش 1.0	B A_Y H O_O S_H
بے 1.0	B A_Y
بےاختیار 1.0	B A_Y I X T_D I J A_A R
بےجا 1.0	B A_Y D_Z A_A
بےحرمتی 1.0	B A_Y H U R M A T_D I_I1
بےعزتی 1.0	B A_Y I Z Z A T_D I_I1
بےقصور 1.0	B A_Y Q U S U_U R
بےمعنی 1.0	B A_Y M A Y N I_I1
بےہودہ 1.0	B A_Y H U_U D_D A_A
تابش 1.0	T_D A_A B I S_H
تابعین 1.0	T_D A_A B I I_I1 N
تاثر 1.0	T_D A A S S U R
تاثرات 1.0	T_D A_A S S U R A_A T_D
تاجدار 1.0	T_D A_A D_Z D_D A_A R
تاجر 1.0	T_D A_A D_Z I R
تاجروں 1.0	T_D A_A D_Z I R O_O_N
تاجور 1.0	T_D A_A D_Z V A R
تاخیر 1.0	T_D A_A X I_I1 R
تارڑ 1.0	T_D A_A R A R_R
تاریخ 1.0	T_D A_A R I_I1 X
تاریخوں 1.0	T_D A_A R I_I1 X O_O_N
تاریخی 1.0	T_D A_A R I_I1 X I_I1
تامل 1.0	T_D A A M M U L
تباہی 1.0	T_D A B A_A H I_I1
تبدیل 1.0	T_D A B D_D I_I1 L
تبدیلی 1.0	T_D A B D_D I_I1 L I_I1
تبدیلیاں 1.0	T_D A B D_D I_I1 L I J A_A_N
تبدیلیوں 1.0	T_D A B D_D I_I1 L I_I1 O_O_N
تبسم 1.0	T_D A B A S S U M
تبصرہ 1.0	T_D A B S I R A_A
تبلیغ 1.0	T_D A B L I_I1 G_G
تبلیغی 1.0	T_D A B L I_I1 G_G I_I1
تجارت 1.0	T_D I D_Z A_A R A T_D
تجربات 1.0	T_D A D_Z R I B A_A T_D
تجربہ 1.0	T_D A D_Z A R B A_A
تجرد 1.0	T_D A D_Z A R R U D_D
تجزیوں 1.0	T_D A D_Z Z I_I1 O_O_N
تجزیہ 1.0	T_D A D_Z Z I J A_A
تجزیے 1.0	T_D A D_Z Z I_I1 A_Y
تجوری 1.0	T_D A D_Z O_O R I_I1
تجوریاں 1.0	T_D I D_Z O_O R I J A_A_N
تجویز 1.0	T_D A D_Z V I_I1 Z
تجہیز 1.0	T_D A D_Z H I_I1 Z
تحائف 1.0	T_D A H A_A I F
تحریر 1.0	T_D A H R I_I1 R
تحریروں 1.0	T_D A H R I_I1 R O_O_N
تحریک 1.0	T_D A H R I_I1 K
تحصیل 1.0	T_D A H S I_I1 L
تحصیلدار 1.0	T_D A H S I_I1 L D_D A_A R
تحصیلوں 1.0	T_D A H S I_I1 L O_O_N
تحفتا 1.0	T_D U H F A T_D A N
تحفظ 1.0	T_D A H A F F U Z
تحفوں 1.0	T_D O_O_H H F O_O_N
تحفہ 1.0	T_D U H F A_A
تحفے 1.0	T_D O_O_H H F A_Y
تحقیق 1.0	T_D A H Q I_I1 Q
تحقیقات 1.0	T_D A H Q I_I1 Q A_A T_D
تحویل 1.0	T_D A H V I_I1 L
تحیر 1.0	T_D A H A J U R
تخریب 1.0	T_D A X R I_I1 B
تخفیف 1.0	T_D A X F I_I1 F
تخلص 1.0	T_D A X A L L U S
تخلیق 1.0	T_D A X L I_I1 Q
تخم 1.0	T_D U X M
تخیّل 1.0	T_D A X A J J U L
تدابیر 1.0	T_D A D_D A_A B I_I1 R
تدریس 1.0	T_D A D_D R I_I1 S
تدفین 1.0	T_D A D_D F I_I1 N
تذبذب 1.0	T_D A Z A B Z U B
تذلیل 1.0	T_D A Z L I_I1 L
تراجم 1.0	T_D A R A_A D_Z I M
تراشوں 1.0	T_D A R A_A S_H O_O_N
تربیتی 1.0	T_D A R B I_I1 T_D I_I1
ترجمان 1.0	T_D A R D_Z U M A_A N
ترجمانی 1.0	T_D A R D_Z U M A_A N I_I1
ترجیح 1.0	T_D A R D_Z I_I1 H
ترجیحات 1.0	T_D A R D_Z I_I1 H A_A T_D
ترشول 1.0	T_D I R S_H U_U L
ترغیب 1.0	T_D A R G_G I_I1 B
ترقی 1.0	T_D A R A Q Q I_I1
ترقیات 1.0	T_D A R A Q J I J A_A T_D
ترقیوں 1.0	T_D A R A Q Q I_I1 O_O_N
ترمذی 1.0	T_D I R M I Z I_I1
ترمیم 1.0	T_D A R M I_I1 M
ترن 1.0	T_D A R U N
ترویج 1.0	T_D A R V I_I1 D_Z
ترچھا 1.0	T_D I R T_S_H A_A
ترچھی 1.0	T_D I R T_S_H I_I1
تزئین 1.0	T_D A Z I_I1 N
تساہل 1.0	T_D A S A_A H U L
تسخیر 1.0	T_D A S X I_I1 R
تسلسل 1.0	T_D A S A L S U L
تسلیم 1.0	T_D A S L I_I1 M
تشبیہ 1.0	T_D A S_H B I_I1
تشبیہات 1.0	T_D A S_H B I_I1 H A_A T_D
تشبیہیں 1.0	T_D A S_H B I_I1 H A_Y_N
تشخص 1.0	T_D A S_H A X X U S
تشخیص 1.0	T_D A S_H X I_I1 S
تشدد 1.0	T_D A S_H A D_D D_D U D_D
تشریف 1.0	T_D A S_H R I_I1 F
تشنج 1.0	T_D A S_H A N N U D_Z
تشویش 1.0	T_D A S_H V I_I1 S_H
تشہیر 1.0	T_D A S_H H I_I1 R
تشیع 1.0	T_D A S_H A J J O_O
تصحیح 1.0	T_D A S H I_I1
تصدق 1.0	T_D A S A D_D D_D U Q
تصدیق 1.0	T_D A S D_D I_I1 Q
تصفیہ 1.0	T_D A S F I J A_A
تصفیے 1.0	T_D A S F I_I1 A_Y
تصور 1.0	T_D A S O V U R
تصورات 1.0	T_D A S A V V U R A_A T_D
تصوف 1.0	T_D A S A V V U F
تصویر 1.0	T_D A S V I_I1 R
تصویریں 1.0	T_D A S V I_I1 R A_Y_N
تضحیک 1.0	T_D A Z H I_I1 K
تعارف 1.0	T_D A A_A R U F
تعاقب 1.0	T_D A A_A Q U B
تعالی 1.0	T_D A A_A L A_A
تعاون 1.0	T_D A A_A V U N
تعجب 1.0	T_D A A D_Z D_Z U B
تعداد 1.0	T_D A D_D A_A D_D
تعریفیں 1.0	T_D A_A R I_I1 F A_Y_N
تعفن 1.0	T_D A A F F U N
تعلق 1.0	T_D A A L L U Q
تعلقوں 1.0	T_D A A L L Q O_O_N
تعلیم 1.0	T_D A_A L I_I1 M
تعمیر 1.0	T_D A Y M I_I1 R
تعوذ 1.0	T_D A A V V U Z
تعیشات 1.0	T_D A Y J J U S_H A_A T_D
تعین 1.0	T_D A Y J J U N
تعینات 1.0	T_D A_A A_Y N A_A T_D
تغافل 1.0	T_D A G_G A_A F U L
تغلق 1.0	T_D U G_G L A Q
تغیر 1.0	T_D A G_G A_E1 J U R
تفاعل 1.0	T_D A F A_A U L
تفاوت 1.0	T_D A F A_A V U T_D
تفتیش 1.0	T_D A F T_D I_I1 S_H
